a52dec 0.8.0-2
abseil-cpp 20240116.2-1
acl 2.3.2-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 46.0-1
adwaita-icon-theme 46.0-1
alacritty 0.13.2-2
alsa-lib 1.2.11-1
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.11-1
alsa-utils 1.2.11-1
aom 3.9.0-1
apparmor 3.1.7-2
arandr 0.1.11-3
archlinux-keyring 20240429-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attr 2.5.2-1
audit 4.0.1-3
autoconf 2.72-1
autoconf-archive 1:2023.02.20-2
automake 1.16.5-2
avahi 1:0.8+r194+g3f79789-2
base 3-2
base-devel 1-1
bash 5.2.026-2
bashtop 0.9.25-1
binutils 2.42-3
bison 3.8.2-6
blueman 2.4.1-2
bluez 5.75-1
bluez-libs 5.75-1
bluez-utils 5.75-1
brightnessctl 0.5.1-2
brotli 1.1.0-2
bzip2 1.0.8-6
c-ares 1.28.1-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.99-1
ca-certificates-utils 20220905-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-1
cbatticon 1.6.13-1
chrpath 0.17-1
clinfo 3.0.23.01.25-1
clutter 1.26.4-2
clutter-gtk 1.8.4-3
cogl 1.22.8-2
coreutils 9.5-1
cryptsetup 2.7.2-1
cuda 12.4.1-3
curl 8.7.1-6
dav1d 1.4.1-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-2
dbus-broker-units 36-2
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.23-3
dhcpcd 10.0.6-1
dialog 1:1.3_20240307-2
diffutils 3.10-1
djvulibre 3.5.28-6
double-conversion 3.3.0-1
duktape 2.7.0-6
e2fsprogs 1.47.0-2
efibootmgr 18-3
efivar 39-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
enchant 2.6.5-1
exiv2 0.28.2-4
exo 4.18.0-1
expat 2.6.2-1
faad2 2.11.1-1
fakeroot 1.34-1
fd 9.0.0-2
ffmpeg 2:6.1.1-7
ffmpeg4.4 4.4.4-5
ffmpegthumbnailer 2.2.2-5
fftw 3.3.10-7
file 5.45-1
filesystem 2024.04.07-1
findutils 4.9.0-3
firefox 125.0.3-1
fish 3.7.1-2
flac 1.4.3-1
flex 2.6.4-5
fontconfig 2:2.15.0-2
freeglut 3.4.0-1
freetype2 2.13.2-1
fribidi 1.0.14-1
fuse-common 3.16.2-1
fuse2 2.9.9-4
fuse3 3.16.2-1
gawk 5.3.0-1
gc 8.2.6-1
gcc 13.2.1-6
gcc-libs 13.2.1-6
gcr-4 4.2.1-2
gdbm 1.23-2
gdk-pixbuf2 2.42.11-2
geeqie 2.4-1
gestures 0.3.1-1
gettext 0.22.4-1
giflib 5.2.2-1
git 2.45.0-1
glib-networking 1:2.80.0-1
glib2 2.80.0-4
glibc 2.39-4
glibmm 2.66.7-1
glslang 14.1.0-1
glu 9.0.3-1
gmp 6.3.0-2
gnu-free-fonts 20120503-8
gnupg 2.4.5-1
gnutls 3.8.5-1
go 2:1.22.2-1
go-tools 4:0.20.0-1
gobject-introspection-runtime 1.80.1-3
gperftools 2.15-1
gpgme 1.23.2-4
gpick 0.3-1
gpm 1.20.7.r38.ge82d1a6-5
graphite 1:1.3.14-3
grep 3.11-1
groff 1.23.0-5
grub 2:2.12-2
grub-customizer 5.2.4-1
gsettings-desktop-schemas 46.0-1
gsm 1.0.22-1
gspell 1.12.2-2
gst-plugins-base-libs 1.24.3-1
gstreamer 1.24.3-1
gtk-update-icon-cache 1:4.14.4-1
gtk2 2.24.33-3
gtk3 1:3.24.41-1
gtkmm 1:2.24.5-4
gtkmm3 3.24.9-1
guile 3.0.9-1
gvfs 1.54.0-2
gzip 1.13-2
harfbuzz 8.4.0-2
hicolor-icon-theme 0.17-3
hidapi 0.14.0-2
highlight 4.11-2
highway 1.1.0-1
hwdata 0.381-1
iana-etc 20240412-1
icu 74.2-2
imath 3.1.11-2
imlib2 1.12.2-2
iproute2 6.8.0-2
iptables 1:1.8.10-1
iputils 20240117-1
iso-codes 4.16.0-1
jack2 1.9.22-1
jansson 2.14-4
jasper 4.2.1-1
java-environment-common 3-5
java-runtime-common 3-5
jbigkit 2.1-7
jdk-openjdk 22.0.1.u0-1
jq 1.7.1-1
json-c 0.17-1
json-glib 1.8.0-1
kbd 2.6.4-1
keyutils 1.6.3-2
kmod 32-1
krb5 1.21.2-2
l-smash 2.14.5-3
lame 3.100-4
lcms2 2.16-1
lib32-brotli 1.1.0-1
